xcoord,ycoord,ID_GRID,L15_KOTLY,L15_PIECE,L15_KOMINK,L15_SUMA_P,L16_KOTLY,L16_PIECE,L16_KOMINK,L16_SUMA_P,L17_KOTLY,L17_PIECE,L17_KOMINK,L17_SUMA_P,INW_DWD
19.9856694774372,49.9985058200148,4494,3,0,0,3,3,0,0,3,2,0,0,2,2017-04-30
19.98706410601,49.9985180041693,4495,1,0,0,1,1,0,0,1,1,0,0,1,2015-02-27
19.9884587355359,49.9985301715638,4496,1,0,0,1,1,0,0,1,1,0,0,1,2015-02-27
19.9898533660136,49.9985423221983,4497,3,0,0,3,2,0,0,2,2,0,0,2,2016-12-31
19.9912479974418,49.9985544560728,4498,2,0,1,3,1,0,1,2,1,0,1,2,2016-12-31
19.9926426298191,49.9985665731873,4499,1,0,0,1,1,0,0,1,0,0,0,0,2017-04-30
19.9940372631443,49.9985786735417,4500,1,0,0,1,1,0,0,1,0,0,0,0,2017-04-30
19.995431897416,49.998590757136,4501,0,0,0,0,0,0,0,0,0,0,0,0,2015-02-27
19.996826532633,49.9986028239703,4502,0,0,0,0,0,0,0,0,0,0,0,0,2015-02-27
19.8697923044588,50.002829751034,4533,2,0,0,2,2,0,0,2,2,0,0,2,2015-02-27
19.8725817072442,50.0028568896916,4535,1,0,0,1,1,0,0,1,1,0,0,1,2015-02-27
19.8809499410223,50.0029379034053,4541,0,0,0,0,0,0,0,0,0,0,0,0,2015-02-27
19.8823446503456,50.0029513470278,4542,0,0,0,0,0,0,0,0,0,0,0,0,2015-02-27
19.8837393607207,50.0029647738894,4543,0,0,0,0,0,0,0,0,0,0,0,0,2015-02-27
19.8851340721463,50.00297818399,4544,0,0,0,0,0,0,0,0,0,0,0,0,2015-02-27
19.8865287846212,50.0029915773295,4545,0,0,0,0,0,0,0,0,0,0,0,0,2015-02-27
19.8879234981439,50.0030049539081,4546,0,0,0,0,0,0,0,0,0,0,0,0,2015-02-27
19.8893182127132,50.0030183137255,4547,0,0,0,0,0,0,0,0,0,0,0,0,2015-02-27
19.8907129283278,50.0030316567818,4548,0,0,0,0,0,0,0,0,0,0,0,0,2015-02-27
19.8921076449863,50.003044983077,4549,0,0,0,0,0,0,0,0,0,0,0,0,2015-02-27
19.8935023626875,50.003058292611,4550,0,0,0,0,0,0,0,0,0,0,0,0,2015-02-27
19.89489708143,50.0030715853838,4551,0,0,0,0,0,0,0,0,0,0,0,0,2015-02-27
19.8962918012126,50.0030848613954,4552,0,0,0,0,0,0,0,0,0,0,0,0,2015-02-27
19.8976865220338,50.0030981206457,4553,0,0,0,0,0,0,0,0,0,0,0,0,2015-02-27
19.8990812438925,50.0031113631348,4554,0,0,0,0,0,0,0,0,0,0,0,0,2015-02-27
